ID,Épic,Feature,User Story,Description,Critères d’acceptation (Gherkin / tests),Priorité (MoSCoW),Estimation (Story Points),Dépendances,Roadmap Phase,Donnée personnelle (DPIA),Sécurité (menaces/contrôles),Admin/Backoffice,Tracking (analytics/event),Accessibilité (WCAG/RGAA),i18n/l10n,Notes
LM2-011,Famille,Créer profil enfant,"En tant que maman, je veux créer un profil enfant",Multi-enfants + profil par défaut Lucky.,Given onboarding fini When j’ajoute enfant Then profil créé; If skip Then Lucky.,Must,8,LM2-005,M1-M3,Données enfant (dates),Chiffrement + RBAC,Non,child_added,AA,FR/AR,
LM2-012,Famille,Modifier profil enfant,"En tant que maman, je veux modifier un profil enfant",Recalcul jalons.,Given profil When je modifie date Then timeline se recalcule.,Must,5,LM2-011,M1-M3,Données enfant,Audit trail,Non,child_updated,AA,FR/AR,
LM2-013,Famille,Niveau confidentialité,"En tant que maman, je veux définir la confidentialité par enfant",Privé/famille/partage limité.,Given niveau When je change Then options partage s’ajustent.,Should,8,LM2-011,M7-M9,Préférences,RBAC,Non,privacy_level_set,AA,FR/AR,
LM2-014,Famille,Inviter un proche,"En tant que maman, je veux inviter le papa en lecture seule",Accès famille.,Given invite When acceptée Then accès limité; révocation possible.,Should,13,LM2-001,M7-M9,Email invité,RBAC + audit,Non,family_invite_sent,AA,FR/AR,
LM2-015,Famille,Localisation capsule,"En tant que maman, je veux activer/désactiver la localisation",Lieu optionnel.,Given toggle off Then aucun GPS collecté; toggle on => précision choisie.,Should,5,LM2-031,M4-M6,GPS,Opt-in,Non,location_toggle,AA,FR/AR,
LM2-016,Famille,Floutage partage,"En tant que maman, je veux flouter visage avant partage",Protection enfant.,Given partage social When flou actif Then export flouté.,Could,8,LM2-004,M10-M12,Images enfants,Traitement local,Non,share_blur_enabled,AA,FR/AR,
LM2-017,Timeline,Vue timeline,"En tant que maman, je veux voir les jalons du jour et à venir",Timeline adaptative.,Given profil actif When ouverture Then jalon du jour affiché.,Must,8,LM2-011,M1-M3,Dates,Règles signées,Non,timeline_opened,AA,FR/AR,
LM2-018,Timeline,Détails jalon,"En tant que maman, je veux ouvrir un jalon",Description + CTA capsule.,Given jalon When open Then description + bouton capsule.,Must,5,LM2-017,M1-M3,,,Non,milestone_opened,AA,FR/AR,
LM2-019,Timeline,Jalons personnalisés,"En tant que maman, je veux ajouter mes événements",Custom milestones.,Given ajout When validé Then événement apparaît et peut notifier.,Should,8,LM2-017,M7-M9,Titre/notes,Validation input,Non,custom_milestone_added,AA,FR/AR,
LM2-020,Timeline,Mode offline,"En tant que maman, je veux accéder offline",Cache timeline & capsules.,Given no network When open Then cache; sync au retour.,Should,8,LM2-031,M4-M6,,Chiffrement local,Non,offline_mode,AA,FR/AR,
LM2-021,Timeline,Règles jalons (admin),"En tant qu’admin, je veux publier des règles de jalons",CMS règles versionné.,Given publish When live Then clients refresh; rollback possible.,Must,13,,M4-M6,Pays/culture,RBAC + versioning,Oui,rules_published,AA,FR/AR,
LM2-022,Timeline,Rollback règles (admin),"En tant qu’admin, je veux rollback une version",Rollback instantané.,Given incident When rollback Then version N-1 appliquée.,Must,8,LM2-021,M4-M6,,Audit log,Oui,rules_rollback,AA,FR/AR,
LM2-023,Capsules,Créer capsule,"En tant que maman, je veux créer une capsule photo+audio+émotion",Créer une capsule = 1 photo + 1 audio (<25s) + émotion/tags. Lecture audio via bouton Play sur la photo.,"Given je suis sur 'Nouvelle capsule' When je prends une photo Then une prévisualisation s’affiche
And When j’enregistre un audio Then la durée est bloquée à 25s max
And When je valide Then la capsule (photo+audio+metadata) est sauvegardée localement puis synchronisée
And Then si (quota capsules atteint) OR (quota stockage atteint) la création est bloquée avec message + CTA upgrade
And Then l’audio est lu uniquement quand j’appuie sur le bouton 'Lecture' sur la photo",Must,13,LM2-002,M1-M3,Photo+audio,Upload signé + chiffrement,Non,capsule_created,AA,FR/AR,
LM2-024,Capsules,Importer photo,"En tant que maman, je veux utiliser une photo existante",Import galerie.,Given permission When import Then capsule créée.,Must,8,LM2-016,M1-M3,Photo,Permission minimale,Non,capsule_imported,AA,FR/AR,
LM2-025,Capsules,Favoris,"En tant que maman, je veux ajouter aux favoris",Album favoris.,Given coeur When toggle Then favoris mis à jour.,Should,3,LM2-023,M1-M3,,,Non,favorite_toggled,AA,FR/AR,
LM2-026,Capsules,Galerie,"En tant que maman, je veux voir mes capsules en grille et timeline",Pagination + cache.,Given galerie When open Then chargement progressif.,Must,8,LM2-023,M1-M3,,Caching,Non,gallery_opened,AA,FR/AR,
LM2-027,Capsules,Filtres,"En tant que maman, je veux filtrer par date/émotion/enfant",Filtres combinés.,Given filtre When appliqué Then liste update.,Must,8,LM2-024,M1-M3,,,Non,filter_applied,AA,FR/AR,
LM2-028,Capsules,Édition,"En tant que maman, je veux éditer une capsule",Versioning.,Given edit When save Then nouvelle version + possibilité annuler.,Should,8,LM2-023,M4-M6,Médias,Versioning,Non,capsule_edited,AA,FR/AR,
LM2-029,Capsules,Corbeille,"En tant que maman, je veux supprimer/restaurer",Soft delete 30j.,Given delete When confirm Then corbeille; restore possible.,Must,8,LM2-023,M4-M6,Médias,Retention,Non,"capsule_deleted,capsule_restored",AA,FR/AR,
LM2-030,Capsules,Partage lien,"En tant que maman, je veux partager via lien expirable",Lecture seule.,Given share When 7j Then lien signé; expiration refus.,Should,8,LM2-023,M4-M6,Contenu partagé,URL signée,Non,share_link_created,AA,FR/AR,
LM2-031,Capsules,Partage social,"En tant que maman, je veux partager sur réseaux sociaux",Export sans EXIF + watermark.,Given social share When confirm Then export nettoyé; audio opt-in.,Should,8,LM2-028,M7-M9,Médias,Strip EXIF,Non,share_social,AA,FR/AR,
LM2-032,Capsules,Coffre,"En tant que maman, je veux verrouiller des capsules",PIN/biométrie.,Given coffre When open Then biométrie requise.,Could,13,LM2-002,M10-M12,Médias,Keystore/Secure Enclave,Non,vault_enabled,AA,FR/AR,
LM2-033,Reels,Flux reels,"En tant que maman, je veux scroller des reels validés",Lecture auto + sous-titres.,Given reels When scroll Then autoplay; sous-titres activables.,Should,8,,M7-M9,Usage,CDN/DRM,Non,reel_view,AA,FR/AR,
LM2-034,Reels,Filtrer,"En tant que maman, je veux filtrer par thème",Thèmes.,Given filtre When sélection Then flux update.,Should,5,LM2-033,M7-M9,,,Non,reel_filter,AA,FR/AR,
LM2-035,Reels,Signaler,"En tant que maman, je veux signaler un reel",Report.,Given report When envoyé Then ticket créé.,Must,5,,M7-M9,,Audit,Non,reel_reported,AA,FR/AR,
LM2-036,Admin Reels,Uploader,"En tant qu’admin, je veux uploader un reel",Upload + transcodage.,Given upload When fini Then preview généré.,Must,13,,M7-M9,,Antivirus + RBAC,Oui,admin_reel_uploaded,AA,FR/AR,
LM2-037,Admin Reels,Valider,"En tant que reviewer, je veux approuver/refuser",Workflow.,Given review When approuvé Then publié; refus => commentaire.,Must,13,LM2-037,M7-M9,,RBAC + audit,Oui,reel_approved,AA,FR/AR,
LM2-038,Admin Reels,Planifier,"En tant qu’admin, je veux planifier une publication",Scheduler.,Given planif When date atteinte Then publié.,Could,5,LM2-037,M10-M12,,RBAC,Oui,reel_scheduled,AA,FR/AR,
LM2-039,Santé,Calendrier vaccinal,"En tant que maman, je veux le calendrier par âge",DZ par défaut.,Given âge When open Then doses listées.,Must,8,LM2-011,M4-M6,Données santé,Contenu versionné,Non,vax_calendar_open,AA,FR/AR,
LM2-040,Santé,Rappel RDV,"En tant que maman, je veux des rappels vaccins",Notif + snooze.,Given rappel When snooze Then reprogrammé.,Must,8,LM2-033,M4-M6,Dates,Opt-in push,Non,vax_reminder_set,AA,FR/AR,
LM2-041,Santé,Marquer effectué,"En tant que maman, je veux marquer effectué",Photo carnet optionnelle.,Given done When confirm Then statut mis à jour.,Should,8,LM2-023,M7-M9,Photo doc médical,Chiffrement,Non,vax_marked_done,AA,FR/AR,
LM2-042,Admin Santé,Gérer calendrier,"En tant qu’admin, je veux éditer calendriers par pays",CRUD + version.,Given publish When live Then clients update.,Must,13,,M7-M9,,RBAC + audit,Oui,admin_vax_published,AA,FR/AR,
LM2-043,Monétisation,Offre premium,"En tant qu’utilisatrice, je veux voir les plans",Comparatif clair des plans (Freemium / Premium annuel / VIP) + quotas mixtes et avantages.,"Given j’ouvre l’écran Plans Then je vois 3 offres:
- Freemium: 25 capsules 
- Premium (annuel): 1990 DA/an, 100 capsules 
- VIP: 150000 DA la 1ère année (capsules illimitées + 1 album offert), puis 3990 DA/an (capsules illimitées); avantages via entitlements
And Then les conditions de renouvellement/expiration sont affichées clairement",Must,5,,M1-M3,,,Non,plan_viewed,AA,FR/AR,
LM2-044,Monétisation,Checkout abonnement,"En tant qu’utilisatrice, je veux payer (CIB/Edahabia/CCP/code)",Paiement local pour abonnement annuel (Premium) ou VIP (année 1 / renouvellement). Gestion pending/success/fail et reçu.,"Given je choisis un plan payant When je valide Then je sélectionne un moyen (CIB/Edahabia/CCP/code)
And Given paiement success Then mon statut d’abonnement passe à Actif et un reçu est généré
And Given paiement pending Then statut Pending; features payantes non activées tant que non confirmé
And Given paiement fail Then je reste sur mon plan actuel et je vois une erreur claire",Must,13,,M4-M6,Paiement,Tokenisation PSP,Non,payment_success,AA,FR/AR,
LM2-045,Monétisation,Code promo,"En tant qu’utilisatrice, je veux appliquer un code promo",Réduction.,Given code When valide Then réduction appliquée.,Should,5,LM2-062,M4-M6,,Anti-fraude,Non,promo_applied,AA,FR/AR,
LM2-046,Admin Promo,Créer code promo,"En tant qu’admin, je veux créer/activer/désactiver des codes",Règles.,Given admin When create Then code+quota+dates.,Must,13,,M4-M6,,RBAC + audit,Oui,admin_promo_created,AA,FR/AR,
LM2-047,Admin Plateforme,Remote config,"En tant qu’admin, je veux changer quotas/textes sans release",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,remote_config,AA,FR/AR,
LM2-048,Admin Plateforme,Feature flags,"En tant qu’admin, je veux activer des features par % utilisateurs",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,feature_flags,AA,FR/AR,
LM2-049,Admin Plateforme,Push campaigns,"En tant qu’admin, je veux lancer des campagnes push segmentées",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,push_campaigns,AA,FR/AR,
LM2-050,Admin Plateforme,Audit logs,"En tant qu’admin sécurité, je veux auditer les actions backoffice",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,audit_logs,AA,FR/AR,
LM2-051,Admin Plateforme,DSAR,"En tant que DPO, je veux traiter les demandes d’accès/suppression",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,dsar,AA,FR/AR,
LM2-052,Admin Plateforme,Rétention,"En tant que DPO, je veux définir des politiques de rétention",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,rétention,AA,FR/AR,
LM2-053,Admin Plateforme,Observabilité,"En tant qu’admin, je veux voir crash/latence/erreurs en dashboard",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,observabilité,AA,FR/AR,
LM2-054,Admin Plateforme,Gestion versions,"En tant qu’admin, je veux forcer une mise à jour minimale",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,gestion_versions,AA,FR/AR,
LM2-055,Admin Plateforme,Support tickets,"En tant que support, je veux gérer des tickets",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,support_tickets,AA,FR/AR,
LM2-056,Admin Plateforme,Rôles & permissions,"En tant qu’admin, je veux gérer RBAC",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,rôles_&_permissions,AA,FR/AR,
LM2-057,Admin Plateforme,Modération,"En tant qu’admin, je veux traiter les signalements contenus",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,modération,AA,FR/AR,
LM2-058,Admin Plateforme,Gestion commandes,"En tant qu’admin, je veux gérer commandes albums papier",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,gestion_commandes,AA,FR/AR,
LM2-059,Admin Plateforme,Gestion secrets,"En tant qu’admin sécurité, je veux rotation des secrets",Backoffice/ops.,Given action When exécutée Then audit+RBAC appliqués.,Should,8,,M7-M9,—,RBAC + audit,Oui,gestion_secrets,AA,FR/AR,
LM2-060,Qualité & Compliance,Accessibilité,"En tant qu’utilisatrice, je veux un contraste et focus conformes",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,accessibilité,AA,FR/AR,
LM2-061,Qualité & Compliance,RTL,"En tant qu’utilisatrice, je veux une expérience Arabe (RTL) parfaite",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,rtl,AA,FR/AR,
LM2-062,Qualité & Compliance,Performance,"En tant qu’utilisatrice, je veux une app rapide même sur 3G",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,performance,AA,FR/AR,
LM2-063,Qualité & Compliance,Crash reporting,"En tant qu’admin, je veux réduire les crashs via monitoring",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Oui,crash_reporting,AA,FR/AR,
LM2-064,Qualité & Compliance,Privacy center,"En tant qu’utilisatrice, je veux un centre de confidentialité clair",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,privacy_center,AA,FR/AR,
LM2-065,Qualité & Compliance,Consent IA,"En tant qu’utilisatrice, je veux activer/désactiver les suggestions IA",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Should,5,,M1-M3,—,Standard sec/privacy,Non,consent_ia,AA,FR/AR,
LM2-066,Qualité & Compliance,Minimisation,"En tant que système, je veux minimiser les données collectées",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,minimisation,AA,FR/AR,
LM2-067,Qualité & Compliance,Chiffrement local,"En tant qu’utilisatrice, je veux que les médias soient chiffrés sur l’appareil",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,chiffrement_local,AA,FR/AR,
LM2-068,Qualité & Compliance,Rate limiting,"En tant que système, je veux protéger les APIs contre abus",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,rate_limiting,AA,FR/AR,
LM2-069,Qualité & Compliance,Sécurité uploads,"En tant que système, je veux scanner les fichiers uploadés",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Should,5,,M1-M3,—,Standard sec/privacy,Non,sécurité_uploads,AA,FR/AR,
LM2-070,Qualité & Compliance,Backups,"En tant que système, je veux des backups et restore testés",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,backups,AA,FR/AR,
LM2-071,Qualité & Compliance,CI/CD,"En tant que DevOps, je veux un pipeline tests+a11y+security",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,ci/cd,AA,FR/AR,
LM2-072,Qualité & Compliance,Tests E2E,"En tant que QA, je veux des tests E2E clés",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,tests_e2e,AA,FR/AR,
LM2-073,Qualité & Compliance,Feature telemetry,"En tant que PO, je veux suivre funnels et KPI",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Should,5,,M1-M3,—,Standard sec/privacy,Non,feature_telemetry,AA,FR/AR,
LM2-074,Qualité & Compliance,A/B testing,"En tant que PO, je veux faire des expériences respectueuses de la privacy",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Could,5,,M1-M3,—,Standard sec/privacy,Non,a/b_testing,AA,FR/AR,
LM2-075,Qualité & Compliance,RGPD logs,"En tant que DPO, je veux journaliser les traitements",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Should,5,,M1-M3,—,Standard sec/privacy,Non,rgpd_logs,AA,FR/AR,
LM2-076,Qualité & Compliance,Politique cookies/SDK,"En tant qu’utilisatrice, je veux savoir quels SDK collectent quoi",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,politique_cookies/sdk,AA,FR/AR,
LM2-077,Qualité & Compliance,Data retention,"En tant que système, je veux supprimer automatiquement les données expirées",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Must,5,,M1-M3,—,Standard sec/privacy,Non,data_retention,AA,FR/AR,
LM2-078,Qualité & Compliance,Parental mode,"En tant que maman, je veux un mode parental pour empêcher un enfant de modifier",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Could,5,,M1-M3,—,Standard sec/privacy,Non,parental_mode,AA,FR/AR,
LM2-079,Qualité & Compliance,Export album PDF,"En tant que maman, je veux exporter un album PDF sans commande",Qualité/Privacy/Sec.,Given besoin When utilisé Then critères respectés. ,Could,5,,M1-M3,—,Standard sec/privacy,Non,export_album_pdf,AA,FR/AR,
LM2-080,Engagement,Centre de notifications,"En tant que maman, je veux un centre pour revoir les notifications",Inbox in-app.,Given notification When je l’ouvre Then elle apparaît dans l’inbox et peut être marquée lue.,Should,8,LM2-033,M4-M6,—,Opt-in,Non,inbox_opened,AA,FR/AR,
LM2-081,Engagement,Snooze,"En tant que maman, je veux snoozer un rappel",Snooze 1h/24h/1 semaine.,Given rappel When snooze Then prochaine notif reprogrammée.,Must,5,LM2-033,M1-M3,—,—,Non,notif_snoozed,AA,FR/AR,
LM2-082,Engagement,Fréquence notifications,"En tant que maman, je veux régler la fréquence des rappels",Quiet hours.,Given settings When quiet hours Then aucune notif en fenêtre silencieuse.,Should,5,LM2-004,M4-M6,Préférences,—,Non,quiet_hours_set,AA,FR/AR,
LM2-083,Engagement,Deep links,"En tant que maman, je veux ouvrir directement une capsule depuis une notif",Deep link.,Given notif When tap Then écran cible s’ouvre même après cold start.,Must,5,LM2-023,M4-M6,—,Validation deep links,Non,deeplink_open,AA,FR/AR,
LM2-084,Engagement,Campagnes lifecycle,"En tant que système, je veux envoyer des messages lifecycle (welcome, churn)",Automations.,Given consent When trigger Then message envoyé avec fréquence limitée.,Should,8,LM2-004,M7-M9,Usage,Throttling,Oui,lifecycle_sent,AA,FR/AR,
LM2-085,Paramètres,Gestion stockage,"En tant que maman, je veux voir mon quota et nettoyer",Affichage et gestion du quota MIXTE selon le plan: (nb capsules) ). Alertes et nettoyage.,"Given je suis dans Paramètres > Stockage When j’ouvre Then je vois X/limite capsules 
And Then la limite est MIXTE: le premier seuil atteint (capsules) bloque la création
And Given j’atteins 80% Then une alerte douce s’affiche
And Given j’atteins 90% Then une alerte forte + actions (nettoyer/supprimer/upgrade)
And When je supprime des capsules Then les compteurs X et Y se mettent à jour",Must,8,LM2-023,M4-M6,Usage,—,Non,storage_viewed,AA,FR/AR,
LM2-086,Paramètres,Wi‑Fi only,"En tant que maman, je veux limiter la sync au Wi‑Fi",Wi‑Fi only upload.,Given wifi-only When 4G Then upload en pause; Wi‑Fi => reprise.,Should,5,LM2-023,M4-M6,—,—,Non,wifi_only_enabled,AA,FR/AR,
LM2-087,Paramètres,Téléchargement offline reels,"En tant que maman, je veux gérer le cache reels",Cache size.,Given cache When limite dépassée Then purge LRU.,Could,8,LM2-033,M10-M12,—,DRM TTL,Non,reel_cache_cleaned,AA,FR/AR,
LM2-088,Paramètres,Langue,"En tant que maman, je veux basculer FR/AR/EN",i18n.,Given switch When change Then RTL et contenus adaptés; redémarrage si nécessaire.,Must,5,LM2-004,M1-M3,Préférence langue,—,Non,language_changed,AA,FR/AR/EN,
LM2-089,Paramètres,Accessibilité texte,"En tant que maman, je veux augmenter la taille des textes",Dynamic type.,Given system font large When app Then layout adapté sans clipping.,Must,8,,M1-M3,—,—,Non,a11y_text_size,AA,FR/AR,
LM2-090,Découverte,Recherche capsules,"En tant que maman, je veux rechercher dans mes capsules",Recherche local + serveur.,Given query When search Then résultats par titre/tags; respect offline.,Should,8,LM2-023,M7-M9,—,—,Non,capsule_search,AA,FR/AR,
LM2-091,Découverte,Recommandations albums,"En tant que maman, je veux des suggestions d’albums automatiques",Auto-albums.,Given comportement When suggestion Then je peux accepter/refuser.,Could,8,LM2-004,M10-M12,Usage,Profilage opt-in,Non,auto_album_suggested,AA,FR/AR,
LM2-092,Découverte,Onboarding tutoriel,"En tant que maman, je veux un tutoriel interactif",Coach marks.,Given 1er usage When tuto Then je peux skip; progress sauvegardé.,Should,5,LM2-001,M1-M3,—,—,Non,tutorial_completed,AA,FR/AR,
LM2-093,Découverte,Widget,"En tant que maman, je veux un widget ""moment du jour""",Home widget.,Given widget When tap Then ouvre jalon du jour.,Could,13,LM2-017,M10-M12,—,—,Non,widget_open,AA,FR/AR,
LM2-094,Privacy,Politique confidentialité in-app,"En tant qu’utilisatrice, je veux lire la politique dans l’app",Versionnée.,Given policy When open Then version + date; et historique des changements.,Must,3,,M1-M3,—,—,Non,privacy_policy_open,AA,FR/AR,
LM2-095,Privacy,Journal des accès,"En tant qu’utilisatrice, je veux voir l’historique des accès à mon compte",Security log.,Given security When open Then devices/actions listées; possibilité révoquer.,Should,8,LM2-002,M7-M9,Device info,Audit,Non,security_log_open,AA,FR/AR,
LM2-096,Privacy,Consentement partage,"En tant qu’utilisatrice, je veux être avertie avant partage social",Nudge.,"Given share social When confirm Then écran avertissement; option ""ne plus afficher"".",Should,3,LM2-028,M7-M9,—,—,Non,share_warning_shown,AA,FR/AR,
LM2-097,Security,Détection jailbreak/root,"En tant que système, je veux détecter appareils compromis",Hardening.,Given device compromised Then limitation fonctionnalités sensibles.,Could,13,,M10-M12,—,App hardening,Non,device_risk_detected,AA,FR/AR,
LM2-098,Security,Protection screenshots,"En tant que maman, je veux bloquer screenshots dans le coffre",FLAG_SECURE / iOS measures.,Given coffre When screenshot Then bloqué ou averti selon OS.,Could,8,LM2-028,M10-M12,—,OS controls,Non,screenshot_blocked,AA,FR/AR,
LM2-099,Admin Release,Notes de version,"En tant qu’admin, je veux publier des notes de version in-app",Release notes.,Given notes When publish Then visibles par version.,Should,5,,M7-M9,—,RBAC,Oui,release_notes_published,AA,FR/AR,
LM2-100,Admin Release,Maintenance mode,"En tant qu’admin, je veux activer un mode maintenance",Bannière + read-only.,Given maintenance When on Then création capsule désactivée et message affiché.,Should,8,,M7-M9,—,RBAC,Oui,maintenance_toggled,AA,FR/AR,
LM2-101,Admin Analytics,Catalogue events,"En tant que data owner, je veux un catalogue d’événements",Event taxonomy.,Given new feature When ship Then events documentés.,Must,8,,M1-M3,—,—,Oui,event_catalog_updated,AA,FR/AR,
LM2-102,Admin Compliance,Registre traitements,"En tant que DPO, je veux maintenir un registre des traitements",RoPA.,Given change When update Then registre mis à jour.,Should,8,,M4-M6,—,—,Oui,ropa_updated,AA,FR/AR,
LM2-103,Admin Security,Gestion clés,"En tant qu’admin sécurité, je veux rotation des clés KMS",Key rotation.,Given rotate When done Then données nouvelles sous nouvelle clé.,Must,13,,M4-M6,—,KMS,Oui,kms_rotated,AA,FR/AR,
LM2-104,Album papier,Prévisualisation PDF,"En tant que maman, je veux prévisualiser le PDF avant commande",Preview.,Given album When preview Then rendu haute résolution.,Should,8,LM2-023,M10-M12,Médias,—,Non,pdf_preview_open,AA,FR/AR,
LM2-105,Album papier,Sauver brouillon album,"En tant que maman, je veux sauvegarder un album en brouillon",Draft.,Given album draft When save Then reprise plus tard.,Should,5,LM2-023,M10-M12,Médias,—,Non,album_draft_saved,AA,FR/AR,
LM2-106,Album papier,Promos album,"En tant que maman, je veux appliquer un code promo sur un album",Promo store.,Given code When valid Then réduction appliquée sur commande.,Could,5,LM2-062,M10-M12,—,Anti-fraude,Non,album_promo_applied,AA,FR/AR,
